	 ncbi_gene_id	gene_symbol	hpo_id	hpo_name
131	19	ABCA1	HP:0002460	Distal muscle weakness
132	19	ABCA1	HP:0001114	Xanthelasma
133	19	ABCA1	HP:0007328	Impaired pain sensation
134	19	ABCA1	HP:0001265	Hyporeflexia
135	19	ABCA1	HP:0001349	Facial diplegia
136	19	ABCA1	HP:0000007	Autosomal recessive inheritance
137	19	ABCA1	HP:0000006	Autosomal dominant inheritance
138	19	ABCA1	HP:0002621	Atherosclerosis
139	19	ABCA1	HP:0001433	Hepatosplenomegaly
140	19	ABCA1	HP:0002730	Chronic noninfectious lymphadenopathy
141	19	ABCA1	HP:0002027	Abdominal pain
142	19	ABCA1	HP:0100546	Carotid artery stenosis
143	19	ABCA1	HP:0003396	Syringomyelia
144	19	ABCA1	HP:0003477	Peripheral axonal neuropathy
145	19	ABCA1	HP:0002155	Hypertriglyceridemia
146	19	ABCA1	HP:0002164	Nail dysplasia
147	19	ABCA1	HP:0002240	Hepatomegaly
148	19	ABCA1	HP:0008404	Nail dystrophy
149	19	ABCA1	HP:0003693	Distal amyotrophy
150	19	ABCA1	HP:0010829	Impaired temperature sensation
151	19	ABCA1	HP:0007133	Progressive peripheral neuropathy
152	19	ABCA1	HP:0004943	Accelerated atherosclerosis
153	19	ABCA1	HP:0031800	Elevated circulating apolipoprotein A-II concentration
154	19	ABCA1	HP:0000622	Blurred vision
155	19	ABCA1	HP:0001903	Anemia
156	19	ABCA1	HP:0031799	Decreased circulating apolipoprotein A-I concentration
157	19	ABCA1	HP:0000656	Ectropion
158	19	ABCA1	HP:0003119	Abnormal circulating lipid concentration
159	19	ABCA1	HP:0003146	Hypocholesterolemia
160	19	ABCA1	HP:0003233	Decreased HDL cholesterol concentration
161	19	ABCA1	HP:0030814	Orange discolored tonsils
162	19	ABCA1	HP:0000991	Xanthomatosis
163	19	ABCA1	HP:0000958	Dry skin
164	19	ABCA1	HP:0005145	Coronary artery stenosis
165	19	ABCA1	HP:0007759	Opacification of the corneal stroma
166	19	ABCA1	HP:0011096	Peripheral demyelination
167	19	ABCA1	HP:0005181	Premature coronary artery atherosclerosis
168	19	ABCA1	HP:0001681	Angina pectoris
169	19	ABCA1	HP:0001677	Coronary artery atherosclerosis
170	19	ABCA1	HP:0025608	Cicatricial ectropion
171	19	ABCA1	HP:0001658	Myocardial infarction
172	19	ABCA1	HP:0007957	Corneal opacity
173	19	ABCA1	HP:0001712	Left ventricular hypertrophy
174	19	ABCA1	HP:0001744	Splenomegaly
175	19	ABCA1	HP:0000505	Visual impairment
176	19	ABCA1	HP:0001873	Thrombocytopenia
8750	590	BCHE	HP:0031035	Chronic infection
8751	590	BCHE	HP:0001392	Abnormality of the liver
8752	590	BCHE	HP:0002664	Neoplasm
8753	590	BCHE	HP:0000007	Autosomal recessive inheritance
8754	590	BCHE	HP:0003470	Paralysis
8755	590	BCHE	HP:0002104	Apnea
8756	590	BCHE	HP:0004887	Respiratory failure requiring assisted ventilation
8757	590	BCHE	HP:0002878	Respiratory failure
8758	590	BCHE	HP:0012379	Abnormal circulating enzyme concentration or activity
8759	590	BCHE	HP:0001658	Myocardial infarction
8760	590	BCHE	HP:0001635	Congestive heart failure
15339	1029	CDKN2A	HP:0025134	Increased serum estradiol
15340	1029	CDKN2A	HP:0003764	Nevus
15341	1029	CDKN2A	HP:0025269	Panic attack
15342	1029	CDKN2A	HP:0007378	Neoplasm of the gastrointestinal tract
15343	1029	CDKN2A	HP:0000080	Abnormality of reproductive system physiology
15344	1029	CDKN2A	HP:0025380	Increased circulating androstenedione concentration
15345	1029	CDKN2A	HP:0012056	Cutaneous melanoma
15346	1029	CDKN2A	HP:0012030	Increased urinary cortisol level
15347	1029	CDKN2A	HP:0025318	Ovarian carcinoma
15348	1029	CDKN2A	HP:0002664	Neoplasm
15349	1029	CDKN2A	HP:0001324	Muscle weakness
15350	1029	CDKN2A	HP:0002669	Osteosarcoma
15351	1029	CDKN2A	HP:0002665	Lymphoma
15352	1029	CDKN2A	HP:0000006	Autosomal dominant inheritance
15353	1029	CDKN2A	HP:0012189	Hodgkin lymphoma
15354	1029	CDKN2A	HP:0012182	Oropharyngeal squamous cell carcinoma
15355	1029	CDKN2A	HP:0012174	Glioblastoma multiforme
15356	1029	CDKN2A	HP:0012142	Pancreatic squamous cell carcinoma
15357	1029	CDKN2A	HP:0012125	Prostate cancer
15358	1029	CDKN2A	HP:0012126	Stomach cancer
15359	1029	CDKN2A	HP:0025436	Elevated serum 11-deoxycortisol
15360	1029	CDKN2A	HP:0001480	Freckling
15361	1029	CDKN2A	HP:0500022	Abnormal circulating dehydroepiandrosterone concentration
15362	1029	CDKN2A	HP:0001433	Hepatosplenomegaly
15363	1029	CDKN2A	HP:0002716	Lymphadenopathy
15364	1029	CDKN2A	HP:0002017	Nausea and vomiting
15365	1029	CDKN2A	HP:0002027	Abdominal pain
15366	1029	CDKN2A	HP:0100526	Neoplasm of the lung
15367	1029	CDKN2A	HP:0002071	Abnormality of extrapyramidal motor function
15368	1029	CDKN2A	HP:0002039	Anorexia
15369	1029	CDKN2A	HP:0011748	Adrenocorticotropic hormone deficiency
15370	1029	CDKN2A	HP:0100592	Peritoneal abscess
15371	1029	CDKN2A	HP:0003466	Paradoxical increased cortisol secretion on dexamethasone suppression test
15372	1029	CDKN2A	HP:0003418	Back pain
15373	1029	CDKN2A	HP:0009592	Astrocytoma
15374	1029	CDKN2A	HP:0002254	Intermittent diarrhea
15375	1029	CDKN2A	HP:0100763	Abnormality of the lymphatic system
15376	1029	CDKN2A	HP:0100768	Choriocarcinoma
15377	1029	CDKN2A	HP:0009726	Renal neoplasm
15378	1029	CDKN2A	HP:0100743	Neoplasm of the rectum
15379	1029	CDKN2A	HP:0004808	Acute myeloid leukemia
15380	1029	CDKN2A	HP:0001065	Striae distensae
15381	1029	CDKN2A	HP:0100605	Neoplasm of the larynx
15382	1029	CDKN2A	HP:0200063	Colorectal polyposis
15383	1029	CDKN2A	HP:0100615	Ovarian neoplasm
15384	1029	CDKN2A	HP:0010788	Testicular neoplasm
15385	1029	CDKN2A	HP:0001962	Palpitations
15386	1029	CDKN2A	HP:0001939	Abnormality of metabolism/homeostasis
15387	1029	CDKN2A	HP:0001909	Leukemia
15388	1029	CDKN2A	HP:0004324	Increased body weight
15389	1029	CDKN2A	HP:0003002	Breast carcinoma
