	 ncbi_gene_id	gene_symbol	hpo_id	hpo_name
1389	88	ACTN2	HP:0002460	Distal muscle weakness
1390	88	ACTN2	HP:0020202	Abnormal Z disc morphology
1391	88	ACTN2	HP:0020203	Z-band streaming
1392	88	ACTN2	HP:0003736	Autophagic vacuoles
1393	88	ACTN2	HP:0003701	Proximal muscle weakness
1394	88	ACTN2	HP:0001290	Generalized hypotonia
1395	88	ACTN2	HP:0001288	Gait disturbance
1396	88	ACTN2	HP:0003805	Rimmed vacuoles
1397	88	ACTN2	HP:0003803	Type 1 muscle fiber predominance
1398	88	ACTN2	HP:0008872	Feeding difficulties in infancy
1399	88	ACTN2	HP:0001324	Muscle weakness
1400	88	ACTN2	HP:0000006	Autosomal dominant inheritance
1401	88	ACTN2	HP:0002650	Scoliosis
1402	88	ACTN2	HP:0002792	Reduced vital capacity
1403	88	ACTN2	HP:0031237	Internally nucleated skeletal muscle fibers
1404	88	ACTN2	HP:0002093	Respiratory insufficiency
1405	88	ACTN2	HP:0100578	Lipoatrophy
1406	88	ACTN2	HP:0003457	EMG abnormality
1407	88	ACTN2	HP:0004755	Supraventricular tachycardia
1408	88	ACTN2	HP:0003557	Increased variability in muscle fiber diameter
1409	88	ACTN2	HP:0003693	Distal amyotrophy
1410	88	ACTN2	HP:0003621	Juvenile onset
1411	88	ACTN2	HP:0009027	Foot dorsiflexor weakness
1412	88	ACTN2	HP:0030682	Left ventricular noncompaction
1413	88	ACTN2	HP:0031936	Delayed ability to walk
1414	88	ACTN2	HP:0011462	Young adult onset
1415	88	ACTN2	HP:0011421	Death in adolescence
1416	88	ACTN2	HP:0003198	Myopathy
1417	88	ACTN2	HP:0003236	Elevated circulating creatine kinase concentration
1418	88	ACTN2	HP:0000982	Palmoplantar keratoderma
1419	88	ACTN2	HP:0100295	Muscle fiber atrophy
1420	88	ACTN2	HP:0007715	Weak extraocular muscles
1421	88	ACTN2	HP:0005110	Atrial fibrillation
1422	88	ACTN2	HP:0031318	Myofiber disarray
1423	88	ACTN2	HP:0031319	Cardiomyocyte hypertrophy
1424	88	ACTN2	HP:0000218	High palate
1425	88	ACTN2	HP:0001695	Cardiac arrest
1426	88	ACTN2	HP:0001678	Atrioventricular block
1427	88	ACTN2	HP:0001644	Dilated cardiomyopathy
1428	88	ACTN2	HP:0001640	Cardiomegaly
1429	88	ACTN2	HP:0001639	Hypertrophic cardiomyopathy
1430	88	ACTN2	HP:0001635	Congestive heart failure
1431	88	ACTN2	HP:0030319	Weakness of facial musculature
1432	88	ACTN2	HP:0006685	Endocardial fibrosis
1433	88	ACTN2	HP:0000407	Sensorineural hearing impairment
1434	88	ACTN2	HP:0001706	Endocardial fibroelastosis
1435	88	ACTN2	HP:0001712	Left ventricular hypertrophy
1436	88	ACTN2	HP:0000597	Ophthalmoparesis
1437	88	ACTN2	HP:0001874	Abnormality of neutrophils
2785	207	AKT1	HP:0001156	Brachydactyly
2786	207	AKT1	HP:0001167	Abnormal finger morphology
2787	207	AKT1	HP:0001140	Limbal dermoid
2788	207	AKT1	HP:0009928	Thick nasal alae
2789	207	AKT1	HP:0003745	Sporadic
2790	207	AKT1	HP:0003764	Nevus
2791	207	AKT1	HP:0001102	Angioid streaks of the fundus
2792	207	AKT1	HP:0003715	Myofibrillar myopathy
2793	207	AKT1	HP:0001269	Hemiparesis
2794	207	AKT1	HP:0001279	Syncope
2795	207	AKT1	HP:0001256	Intellectual disability, mild
2796	207	AKT1	HP:0001250	Seizure
2797	207	AKT1	HP:0001251	Ataxia
2798	207	AKT1	HP:0001249	Intellectual disability
2799	207	AKT1	HP:0001263	Global developmental delay
2800	207	AKT1	HP:0001262	Excessive daytime somnolence
2801	207	AKT1	HP:0007440	Generalized hyperpigmentation
2802	207	AKT1	HP:0006101	Finger syndactyly
2803	207	AKT1	HP:0007400	Irregular hyperpigmentation
2804	207	AKT1	HP:0007403	Hypertrophy of skin of soles
2805	207	AKT1	HP:0010997	Chromosomal breakage induced by ionizing radiation
2806	207	AKT1	HP:0007359	Focal-onset seizure
2807	207	AKT1	HP:0007340	Lower limb muscle weakness
2808	207	AKT1	HP:0008675	Enlarged polycystic ovaries
2809	207	AKT1	HP:0002516	Increased intracranial pressure
2810	207	AKT1	HP:0002512	Brain stem compression
2811	207	AKT1	HP:0012062	Bone cyst
2812	207	AKT1	HP:0000077	Abnormality of the kidney
2813	207	AKT1	HP:0000044	Hypogonadotropic hypogonadism
2814	207	AKT1	HP:0000040	Long penis
2815	207	AKT1	HP:0012032	Lipoma
2816	207	AKT1	HP:0000036	Abnormal penis morphology
2817	207	AKT1	HP:0001387	Joint stiffness
2818	207	AKT1	HP:0000053	Macroorchidism
2819	207	AKT1	HP:0000020	Urinary incontinence
2820	207	AKT1	HP:0001363	Craniosynostosis
2821	207	AKT1	HP:0000034	Hydrocele testis
2822	207	AKT1	HP:0007565	Multiple cafe-au-lait spots
2823	207	AKT1	HP:0007552	Abnormal subcutaneous fat tissue distribution
2824	207	AKT1	HP:0007483	Depigmentation/hyperpigmentation of skin
2825	207	AKT1	HP:0002664	Neoplasm
2826	207	AKT1	HP:0001342	Cerebral hemorrhage
2827	207	AKT1	HP:0000006	Autosomal dominant inheritance
2828	207	AKT1	HP:0002652	Skeletal dysplasia
2829	207	AKT1	HP:0002650	Scoliosis
2830	207	AKT1	HP:0001317	Abnormal cerebellum morphology
2831	207	AKT1	HP:0002625	Deep venous thrombosis
2832	207	AKT1	HP:0000194	Open mouth
2833	207	AKT1	HP:0000160	Narrow mouth
2834	207	AKT1	HP:0000158	Macroglossia
2835	207	AKT1	HP:0000141	Amenorrhea
2836	207	AKT1	HP:0000138	Ovarian cyst
2837	207	AKT1	HP:0001482	Subcutaneous nodule
2838	207	AKT1	HP:0012114	Endometrial carcinoma
2839	207	AKT1	HP:0000130	Abnormality of the uterus
2840	207	AKT1	HP:0001428	Somatic mutation
2841	207	AKT1	HP:0002753	Thin bony cortex
2842	207	AKT1	HP:0000107	Renal cyst
2843	207	AKT1	HP:0002751	Kyphoscoliosis
2844	207	AKT1	HP:0002719	Recurrent infections
2845	207	AKT1	HP:0002017	Nausea and vomiting
2846	207	AKT1	HP:0003312	Abnormal form of the vertebral bodies
2847	207	AKT1	HP:0100521	Neoplasm of the thymus
2848	207	AKT1	HP:0100526	Neoplasm of the lung
2849	207	AKT1	HP:0002080	Intention tremor
2850	207	AKT1	HP:0100543	Cognitive impairment
2851	207	AKT1	HP:0100560	Upper limb asymmetry
2852	207	AKT1	HP:0100555	Asymmetric growth
2853	207	AKT1	HP:0100559	Lower limb asymmetry
2854	207	AKT1	HP:0011752	Neoplasm of the posterior pituitary
2855	207	AKT1	HP:0011750	Neoplasm of the anterior pituitary
2856	207	AKT1	HP:0011730	Abnormal central sensory function
2857	207	AKT1	HP:0100579	Mucosal telangiectasiae
2858	207	AKT1	HP:0010497	Sirenomelia
2859	207	AKT1	HP:0005916	Abnormal metacarpal morphology
